"","res_cluster","top_genes"
"1","res.0.1_0","CD3D,IL32,CD3E,RPS12,RPS3"
"2","res.0.1_1","LST1,CFD,AIF1,SERPINA1,TYROBP"
"3","res.0.1_2","GZMB,FGFBP2,PRF1,GNLY,SPON2"
"4","res.0.1_3","CD79A,MS4A1,LINC00926,TCL1A,CD79B"
"5","res.0.1_4","FCER1A,SERPINF1,CLEC10A,ENHO,CLIC2"
"6","res.0.2_0","RPS12,LDHB,CD3D,RPS25,RPL32"
"7","res.0.2_1","CCL5,GZMK,CD8A,KLRG1,CST7"
"8","res.0.2_2","RP11-290F20.3,MS4A7,HES4,IFITM3,CDKN1C"
"9","res.0.2_3","GZMB,FGFBP2,PRF1,GNLY,SPON2"
"10","res.0.2_4","CD79A,MS4A1,LINC00926,TCL1A,CD79B"
"11","res.0.2_5","LGALS2,S100A8,S100A9,CD14,FCN1"
"12","res.0.2_6","FCER1A,SERPINF1,CLEC10A,ENHO,CLIC2"
"13","res.0.3_0","RPS12,LDHB,CD3D,RPS25,RPL32"
"14","res.0.3_1","RP11-290F20.3,MS4A7,HES4,IFITM3,CDKN1C"
"15","res.0.3_2","GZMB,FGFBP2,PRF1,GNLY,SPON2"
"16","res.0.3_3","CD79A,MS4A1,LINC00926,TCL1A,CD79B"
"17","res.0.3_4","CCL5,GZMK,CD8A,KLRG1,CST7"
"18","res.0.3_5","LGALS2,S100A8,S100A9,CD14,FCN1"
"19","res.0.3_6","FCER1A,SERPINF1,CLEC10A,ENHO,CLIC2"
"20","res.0.3_7","GP9,ITGA2B,AP001189.4,TMEM40,SEPT5"
"21","res.0.4_0","RPS12,LDHB,CD3D,RPS25,RPL32"
"22","res.0.4_1","RP11-290F20.3,MS4A7,HES4,IFITM3,CDKN1C"
"23","res.0.4_2","GZMB,FGFBP2,PRF1,GNLY,SPON2"
"24","res.0.4_3","CD79A,MS4A1,LINC00926,TCL1A,CD79B"
"25","res.0.4_4","CCL5,GZMK,CD8A,KLRG1,CST7"
"26","res.0.4_5","LGALS2,S100A8,S100A9,CD14,FCN1"
"27","res.0.4_6","FCER1A,SERPINF1,CLEC10A,ENHO,CLIC2"
"28","res.0.4_7","GP9,ITGA2B,AP001189.4,TMEM40,SEPT5"
"29","res.0.5_0","RPS12,LDHB,CD3D,RPS25,RPL32"
"30","res.0.5_1","RP11-290F20.3,MS4A7,HES4,IFITM3,CDKN1C"
"31","res.0.5_2","GZMB,FGFBP2,PRF1,GNLY,SPON2"
"32","res.0.5_3","CD79A,MS4A1,LINC00926,TCL1A,CD79B"
"33","res.0.5_4","CCL5,GZMK,CD8A,CD3D,KLRG1"
"34","res.0.5_5","LGALS2,S100A8,S100A9,CD14,FCN1"
"35","res.0.5_6","FCER1A,SERPINF1,CLEC10A,ENHO,CLIC2"
"36","res.0.5_7","GP9,ITGA2B,AP001189.4,TMEM40,SEPT5"
