"","res_cluster","sil"
"1","res.0.1_0",-0.0878685719909635
"2","res.0.1_1",0.11004300882706
"3","res.0.1_2",-0.0392342109728164
"4","res.0.1_3",-0.0957234506481514
"5","res.0.1_4",-0.191343538202046
"6","res.0.1_5",-0.145132858050847
"7","res.0.1_6",-0.140312439717498
"8","res.0.2_0",-0.0940071589793383
"9","res.0.2_1",0.107946969308676
"10","res.0.2_2",-0.0607265327134933
"11","res.0.2_3",-0.0995166584793762
"12","res.0.2_4",-0.194468086650387
"13","res.0.2_5",-0.00281164957221009
"14","res.0.2_6",-0.150471375022932
"15","res.0.2_7",-0.147260966104858
"16","res.0.3_0",-0.114245351978382
"17","res.0.3_1",-0.0830863547511833
"18","res.0.3_2",-0.12089401125656
"19","res.0.3_3",-0.0722345289838459
"20","res.0.3_4",0.0905202640317782
"21","res.0.3_5",-0.127969101993279
"22","res.0.3_6",-0.206346799758749
"23","res.0.3_7",-0.0137600600459692
"24","res.0.3_8",-0.164066014572545
"25","res.0.3_9",-0.112250788258471
"26","res.0.3_10",-0.162399896036754
"27","res.0.4_0",-0.125158949173472
"28","res.0.4_1",-0.0997770594405093
"29","res.0.4_2",-0.131897157945407
"30","res.0.4_3",-0.163279390631253
"31","res.0.4_4",-0.0633155254850952
"32","res.0.4_5",0.106602309973923
"33","res.0.4_6",-0.134325060438773
"34","res.0.4_7",-0.215892601730008
"35","res.0.4_8",0.0314870273863964
"36","res.0.4_9",-0.15387990254018
"37","res.0.4_10",-0.102418399522821
"38","res.0.4_11",-0.168725273418883
"39","res.0.4_12",-0.174094494554346
"40","res.0.4_13",-0.0227932765165488
"41","res.0.5_0",-0.110861945525394
"42","res.0.5_1",-0.0372565559145832
"43","res.0.5_2",-0.12673402531994
"44","res.0.5_3",-0.159000952433811
"45","res.0.5_4",-0.00791180908729069
"46","res.0.5_5",0.0273145524509597
"47","res.0.5_6",-0.124012204936345
"48","res.0.5_7",-0.0693708178792852
"49","res.0.5_8",-0.21209925494512
"50","res.0.5_9",0.0156807069824847
"51","res.0.5_10",-0.146320596134327
"52","res.0.5_11",-0.0963265175464444
"53","res.0.5_12",-0.166286460590613
"54","res.0.5_13",-0.166969548650872
"55","res.0.5_14",-0.0299208210326512
